Parameter,Value,Unit
BEAM PARAMETERS,,
Initial Energy,150.0,MeV
Initial Weight,1.0,-
GRID PARAMETERS,,
X Range,0.0-30.0,mm
Z Range,0.0-70.0,mm
Delta X,1.0,mm
Delta Z,1.0,mm
NX,30,-
NZ,70,-
Energy Range,1.0-150.0,MeV
Delta E,0.2,MeV
NE,745,-
Energy Cutoff,2.0,MeV
Angular Center,90.0,degrees
Angular Half Range,20.0,degrees
Delta Theta,1.0,degrees
NTheta,40,-
RESULTS,,
Bragg Peak Position,69.5000,mm
Peak Dose,1.27326465e+00,MeV
FWHM,69.0000,mm
Total Dose Deposited,6.90837708e+01,MeV
Final Weight,2.68842115e-07,-
Total Escape,9.99999702e-01,-
DOSE STATISTICS,,
Max Dose,8.20441902e-01,MeV
Min Dose (non-zero),9.27405288e-13,MeV
Mean Dose,3.28970328e-02,MeV
Std Dose,1.05550401e-01,MeV
