# NIST-based Proton Transport Lookup Table
# Material: Liquid water (density = 1.0 g/cm³)
# Energy range: 0.01 - 250.0 MeV
# Step length: 1.0 mm
#
# Column descriptions:
# 1: Energy [MeV] - Proton kinetic energy
# 2: StoppingPower [MeV/mm] - dE/dx from NIST PSTAR
# 3: LET [keV/um] - Linear Energy Transfer (same as stopping power)
# 4: Range [mm] - CSDA range integrated from stopping power
# 5: ScatteringAngle [rad] - RMS scattering angle per step (Highland formula)
# 6: ScatteringAngle [deg] - RMS scattering angle in degrees
# 7: Beta - v/c relativistic velocity
# 8: ResidualEnergy [MeV] - Energy after 1 mm step
#
Energy_MeV,StoppingPower_MeV_mm,LET_keV_um,Range_mm,ScatteringAngle_rad,ScatteringAngle_deg,Beta,ResidualEnergy_MeV
2.105272e-02,1.699289e+01,1.699289e+01,5.700216e-04,1.319989e+01,7.562980e+02,6.698807e-03,0.000000e+00
2.142037e-02,1.687404e+01,1.687404e+01,5.917332e-04,1.297333e+01,7.433173e+02,6.757044e-03,0.000000e+00
2.179445e-02,1.675601e+01,1.675601e+01,6.139795e-04,1.275067e+01,7.305594e+02,6.815787e-03,0.000000e+00
2.217505e-02,1.663882e+01,1.663882e+01,6.367737e-04,1.253182e+01,7.180205e+02,6.875040e-03,0.000000e+00
2.256230e-02,1.652244e+01,1.652244e+01,6.601294e-04,1.231673e+01,7.056968e+02,6.934809e-03,0.000000e+00
2.295632e-02,1.640687e+01,1.640687e+01,6.840604e-04,1.210533e+01,6.935846e+02,6.995098e-03,0.000000e+00
2.335721e-02,1.629212e+01,1.629212e+01,7.085807e-04,1.189757e+01,6.816803e+02,7.055910e-03,0.000000e+00
2.376511e-02,1.617816e+01,1.617816e+01,7.337050e-04,1.169336e+01,6.699803e+02,7.117251e-03,0.000000e+00
2.418013e-02,1.606501e+01,1.606501e+01,7.594481e-04,1.149266e+01,6.584811e+02,7.179126e-03,0.000000e+00
2.460240e-02,1.595264e+01,1.595264e+01,7.858253e-04,1.129541e+01,6.471793e+02,7.241538e-03,0.000000e+00
2.503204e-02,1.584106e+01,1.584106e+01,8.128521e-04,1.110154e+01,6.360715e+02,7.304493e-03,0.000000e+00
2.546918e-02,1.573026e+01,1.573026e+01,8.405446e-04,1.091100e+01,6.251543e+02,7.367995e-03,0.000000e+00
2.591396e-02,1.562024e+01,1.562024e+01,8.689192e-04,1.072373e+01,6.144245e+02,7.432049e-03,0.000000e+00
2.636651e-02,1.551099e+01,1.551099e+01,8.979927e-04,1.053967e+01,6.038789e+02,7.496659e-03,0.000000e+00
2.682696e-02,1.540250e+01,1.540250e+01,9.277822e-04,1.035878e+01,5.935142e+02,7.561832e-03,0.000000e+00
2.729545e-02,1.529476e+01,1.529476e+01,9.583054e-04,1.018099e+01,5.833275e+02,7.627571e-03,0.000000e+00
2.777212e-02,1.518779e+01,1.518779e+01,9.895805e-04,1.000625e+01,5.733156e+02,7.693881e-03,0.000000e+00
2.825712e-02,1.508156e+01,1.508156e+01,1.021626e-03,9.834504e+00,5.634756e+02,7.760768e-03,0.000000e+00
2.875058e-02,1.497607e+01,1.497607e+01,1.054460e-03,9.665710e+00,5.538044e+02,7.828237e-03,0.000000e+00
2.925266e-02,1.487132e+01,1.487132e+01,1.088104e-03,9.499814e+00,5.442992e+02,7.896291e-03,0.000000e+00
2.976351e-02,1.476731e+01,1.476731e+01,1.122576e-03,9.336765e+00,5.349572e+02,7.964938e-03,0.000000e+00
3.028329e-02,1.466586e+01,1.466586e+01,1.157895e-03,9.176514e+00,5.257755e+02,8.034181e-03,0.000000e+00
3.081214e-02,1.456665e+01,1.456665e+01,1.194077e-03,9.019014e+00,5.167514e+02,8.104026e-03,0.000000e+00
3.135022e-02,1.446812e+01,1.446812e+01,1.231142e-03,8.864217e+00,5.078822e+02,8.174478e-03,0.000000e+00
3.189770e-02,1.437025e+01,1.437025e+01,1.269111e-03,8.712077e+00,4.991653e+02,8.245543e-03,0.000000e+00
3.245474e-02,1.427304e+01,1.427304e+01,1.308006e-03,8.562549e+00,4.905979e+02,8.317225e-03,0.000000e+00
3.302151e-02,1.417650e+01,1.417650e+01,1.347850e-03,8.415586e+00,4.821776e+02,8.389530e-03,0.000000e+00
3.359818e-02,1.408060e+01,1.408060e+01,1.388665e-03,8.271147e+00,4.739018e+02,8.462464e-03,0.000000e+00
3.418492e-02,1.398535e+01,1.398535e+01,1.430477e-03,8.129186e+00,4.657680e+02,8.536032e-03,0.000000e+00
3.478191e-02,1.389075e+01,1.389075e+01,1.473308e-03,7.989662e+00,4.577739e+02,8.610240e-03,0.000000e+00
3.538932e-02,1.379679e+01,1.379679e+01,1.517184e-03,7.852533e+00,4.499170e+02,8.685092e-03,0.000000e+00
3.600733e-02,1.370346e+01,1.370346e+01,1.562131e-03,7.717757e+00,4.421949e+02,8.760595e-03,0.000000e+00
